"タイトル","住宅ローンシミュレーター 新規お借入れ 毎月の返済額を調べる（試算1 借入1） | auじぶん銀行",,,,,
"作成日","2026/04/06",,,,,
,,,,,,
"借入金額（円）","内 ボーナス返済額（円）","借入期間","実行予定日","総返済額（円）",,
41500000,0,"35年0ヶ月","-",51084226,,
,,,,,,
"年月","金利（%）","返済額（円）","返済額内訳－元金（円）","返済額内訳－利息（円）","繰上返済額（円）","返済後残高（円）"
"2026年5月","1.229",121629,79127,42502,0,41420873
"2026年6月","1.229",121629,79208,42421,0,41341665
"2026年7月","1.229",121629,79289,42340,0,41262376
"2026年8月","1.229",121629,79370,42259,0,41183006
"2026年9月","1.229",121629,79451,42178,0,41103555
"2026年10月","1.229",121629,79533,42096,0,41024022
"2026年11月","1.229",121629,79614,42015,0,40944408
"2026年12月","1.229",121629,79696,41933,0,40864712
"2027年1月","1.229",121629,79777,41852,0,40784935
"2027年2月","1.229",121629,79859,41770,0,40705076
"2027年3月","1.229",121629,79941,41688,0,40625135
"2027年4月","1.229",121629,80023,41606,0,40545112
"2027年5月","1.229",121629,80105,41524,0,40465007
"2027年6月","1.229",121629,80187,41442,0,40384820
"2027年7月","1.229",121629,80269,41360,0,40304551
"2027年8月","1.229",121629,80351,41278,0,40224200
"2027年9月","1.229",121629,80433,41196,0,40143767
"2027年10月","1.229",121629,80516,41113,0,40063251
"2027年11月","1.229",121629,80598,41031,0,39982653
"2027年12月","1.229",121629,80681,40948,0,39901972
"2028年1月","1.229",121629,80763,40866,0,39821209
"2028年2月","1.229",121629,80846,40783,0,39740363
"2028年3月","1.229",121629,80929,40700,0,39659434
"2028年4月","1.229",121629,81012,40617,0,39578422
"2028年5月","1.229",121629,81095,40534,0,39497327
"2028年6月","1.229",121629,81178,40451,0,39416149
"2028年7月","1.229",121629,81261,40368,0,39334888
"2028年8月","1.229",121629,81344,40285,0,39253544
"2028年9月","1.229",121629,81427,40202,0,39172117
"2028年10月","1.229",121629,81511,40118,0,39090606
"2028年11月","1.229",121629,81594,40035,0,39009012
"2028年12月","1.229",121629,81678,39951,0,38927334
"2029年1月","1.229",121629,81761,39868,0,38845573
"2029年2月","1.229",121629,81845,39784,0,38763728
"2029年3月","1.229",121629,81929,39700,0,38681799
"2029年4月","1.229",121629,82013,39616,0,38599786
"2029年5月","1.229",121629,82097,39532,0,38517689
"2029年6月","1.229",121629,82181,39448,0,38435508
"2029年7月","1.229",121629,82265,39364,0,38353243
"2029年8月","1.229",121629,82349,39280,0,38270894
"2029年9月","1.229",121629,82434,39195,0,38188460
"2029年10月","1.229",121629,82518,39111,0,38105942
"2029年11月","1.229",121629,82603,39026,0,38023339
"2029年12月","1.229",121629,82687,38942,0,37940652
"2030年1月","1.229",121629,82772,38857,0,37857880
"2030年2月","1.229",121629,82857,38772,0,37775023
"2030年3月","1.229",121629,82942,38687,0,37692081
"2030年4月","1.229",121629,83027,38602,0,37609054
"2030年5月","1.229",121629,83112,38517,0,37525942
"2030年6月","1.229",121629,83197,38432,0,37442745
"2030年7月","1.229",121629,83282,38347,0,37359463
"2030年8月","1.229",121629,83367,38262,0,37276096
"2030年9月","1.229",121629,83453,38176,0,37192643
"2030年10月","1.229",121629,83538,38091,0,37109105
"2030年11月","1.229",121629,83624,38005,0,37025481
"2030年12月","1.229",121629,83709,37920,0,36941772
"2031年1月","1.229",121629,83795,37834,0,36857977
"2031年2月","1.229",121629,83881,37748,0,36774096
"2031年3月","1.229",121629,83967,37662,0,36690129
"2031年4月","1.229",121629,84053,37576,0,36606076
"2031年5月","1.229",121629,84139,37490,0,36521937
"2031年6月","1.229",121629,84225,37404,0,36437712
"2031年7月","1.229",121629,84311,37318,0,36353401
"2031年8月","1.229",121629,84398,37231,0,36269003
"2031年9月","1.229",121629,84484,37145,0,36184519
"2031年10月","1.229",121629,84571,37058,0,36099948
"2031年11月","1.229",121629,84657,36972,0,36015291
"2031年12月","1.229",121629,84744,36885,0,35930547
"2032年1月","1.229",121629,84831,36798,0,35845716
"2032年2月","1.229",121629,84918,36711,0,35760798
"2032年3月","1.229",121629,85005,36624,0,35675793
"2032年4月","1.229",121629,85092,36537,0,35590701
"2032年5月","1.229",121629,85179,36450,0,35505522
"2032年6月","1.229",121629,85266,36363,0,35420256
"2032年7月","1.229",121629,85353,36276,0,35334903
"2032年8月","1.229",121629,85441,36188,0,35249462
"2032年9月","1.229",121629,85528,36101,0,35163934
"2032年10月","1.229",121629,85616,36013,0,35078318
"2032年11月","1.229",121629,85703,35926,0,34992615
"2032年12月","1.229",121629,85791,35838,0,34906824
"2033年1月","1.229",121629,85879,35750,0,34820945
"2033年2月","1.229",121629,85967,35662,0,34734978
"2033年3月","1.229",121629,86055,35574,0,34648923
"2033年4月","1.229",121629,86143,35486,0,34562780
"2033年5月","1.229",121629,86232,35397,0,34476548
"2033年6月","1.229",121629,86320,35309,0,34390228
"2033年7月","1.229",121629,86408,35221,0,34303820
"2033年8月","1.229",121629,86497,35132,0,34217323
"2033年9月","1.229",121629,86585,35044,0,34130738
"2033年10月","1.229",121629,86674,34955,0,34044064
"2033年11月","1.229",121629,86763,34866,0,33957301
"2033年12月","1.229",121629,86852,34777,0,33870449
"2034年1月","1.229",121629,86941,34688,0,33783508
"2034年2月","1.229",121629,87030,34599,0,33696478
"2034年3月","1.229",121629,87119,34510,0,33609359
"2034年4月","1.229",121629,87208,34421,0,33522151
"2034年5月","1.229",121629,87297,34332,0,33434854
"2034年6月","1.229",121629,87387,34242,0,33347467
"2034年7月","1.229",121629,87476,34153,0,33259991
"2034年8月","1.229",121629,87566,34063,0,33172425
"2034年9月","1.229",121629,87655,33974,0,33084770
"2034年10月","1.229",121629,87745,33884,0,32997025
"2034年11月","1.229",121629,87835,33794,0,32909190
"2034年12月","1.229",121629,87925,33704,0,32821265
"2035年1月","1.229",121629,88015,33614,0,32733250
"2035年2月","1.229",121629,88105,33524,0,32645145
"2035年3月","1.229",121629,88195,33434,0,32556950
"2035年4月","1.229",121629,88286,33343,0,32468664
"2035年5月","1.229",121629,88376,33253,0,32380288
"2035年6月","1.229",121629,88467,33162,0,32291821
"2035年7月","1.229",121629,88557,33072,0,32203264
"2035年8月","1.229",121629,88648,32981,0,32114616
"2035年9月","1.229",121629,88739,32890,0,32025877
"2035年10月","1.229",121629,88830,32799,0,31937047
"2035年11月","1.229",121629,88921,32708,0,31848126
"2035年12月","1.229",121629,89012,32617,0,31759114
"2036年1月","1.229",121629,89103,32526,0,31670011
"2036年2月","1.229",121629,89194,32435,0,31580817
"2036年3月","1.229",121629,89285,32344,0,31491532
"2036年4月","1.229",121629,89377,32252,0,31402155
"2036年5月","1.229",121629,89469,32160,0,31312686
"2036年6月","1.229",121629,89560,32069,0,31223126
"2036年7月","1.229",121629,89652,31977,0,31133474
"2036年8月","1.229",121629,89744,31885,0,31043730
"2036年9月","1.229",121629,89836,31793,0,30953894
"2036年10月","1.229",121629,89928,31701,0,30863966
"2036年11月","1.229",121629,90020,31609,0,30773946
"2036年12月","1.229",121629,90112,31517,0,30683834
"2037年1月","1.229",121629,90204,31425,0,30593630
"2037年2月","1.229",121629,90297,31332,0,30503333
"2037年3月","1.229",121629,90389,31240,0,30412944
"2037年4月","1.229",121629,90482,31147,0,30322462
"2037年5月","1.229",121629,90574,31055,0,30231888
"2037年6月","1.229",121629,90667,30962,0,30141221
"2037年7月","1.229",121629,90760,30869,0,30050461
"2037年8月","1.229",121629,90853,30776,0,29959608
"2037年9月","1.229",121629,90946,30683,0,29868662
"2037年10月","1.229",121629,91039,30590,0,29777623
"2037年11月","1.229",121629,91132,30497,0,29686491
"2037年12月","1.229",121629,91226,30403,0,29595265
"2038年1月","1.229",121629,91319,30310,0,29503946
"2038年2月","1.229",121629,91413,30216,0,29412533
"2038年3月","1.229",121629,91506,30123,0,29321027
"2038年4月","1.229",121629,91600,30029,0,29229427
"2038年5月","1.229",121629,91694,29935,0,29137733
"2038年6月","1.229",121629,91788,29841,0,29045945
"2038年7月","1.229",121629,91882,29747,0,28954063
"2038年8月","1.229",121629,91976,29653,0,28862087
"2038年9月","1.229",121629,92070,29559,0,28770017
"2038年10月","1.229",121629,92164,29465,0,28677853
"2038年11月","1.229",121629,92259,29370,0,28585594
"2038年12月","1.229",121629,92353,29276,0,28493241
"2039年1月","1.229",121629,92448,29181,0,28400793
"2039年2月","1.229",121629,92542,29087,0,28308251
"2039年3月","1.229",121629,92637,28992,0,28215614
"2039年4月","1.229",121629,92732,28897,0,28122882
"2039年5月","1.229",121629,92827,28802,0,28030055
"2039年6月","1.229",121629,92922,28707,0,27937133
"2039年7月","1.229",121629,93017,28612,0,27844116
"2039年8月","1.229",121629,93113,28516,0,27751003
"2039年9月","1.229",121629,93208,28421,0,27657795
"2039年10月","1.229",121629,93303,28326,0,27564492
"2039年11月","1.229",121629,93399,28230,0,27471093
"2039年12月","1.229",121629,93495,28134,0,27377598
"2040年1月","1.229",121629,93590,28039,0,27284008
"2040年2月","1.229",121629,93686,27943,0,27190322
"2040年3月","1.229",121629,93782,27847,0,27096540
"2040年4月","1.229",121629,93878,27751,0,27002662
"2040年5月","1.229",121629,93974,27655,0,26908688
"2040年6月","1.229",121629,94071,27558,0,26814617
"2040年7月","1.229",121629,94167,27462,0,26720450
"2040年8月","1.229",121629,94263,27366,0,26626187
"2040年9月","1.229",121629,94360,27269,0,26531827
"2040年10月","1.229",121629,94457,27172,0,26437370
"2040年11月","1.229",121629,94553,27076,0,26342817
"2040年12月","1.229",121629,94650,26979,0,26248167
"2041年1月","1.229",121629,94747,26882,0,26153420
"2041年2月","1.229",121629,94844,26785,0,26058576
"2041年3月","1.229",121629,94941,26688,0,25963635
"2041年4月","1.229",121629,95038,26591,0,25868597
"2041年5月","1.229",121629,95136,26493,0,25773461
"2041年6月","1.229",121629,95233,26396,0,25678228
"2041年7月","1.229",121629,95331,26298,0,25582897
"2041年8月","1.229",121629,95428,26201,0,25487469
"2041年9月","1.229",121629,95526,26103,0,25391943
"2041年10月","1.229",121629,95624,26005,0,25296319
"2041年11月","1.229",121629,95722,25907,0,25200597
"2041年12月","1.229",121629,95820,25809,0,25104777
"2042年1月","1.229",121629,95918,25711,0,25008859
"2042年2月","1.229",121629,96016,25613,0,24912843
"2042年3月","1.229",121629,96115,25514,0,24816728
"2042年4月","1.229",121629,96213,25416,0,24720515
"2042年5月","1.229",121629,96312,25317,0,24624203
"2042年6月","1.229",121629,96410,25219,0,24527793
"2042年7月","1.229",121629,96509,25120,0,24431284
"2042年8月","1.229",121629,96608,25021,0,24334676
"2042年9月","1.229",121629,96707,24922,0,24237969
"2042年10月","1.229",121629,96806,24823,0,24141163
"2042年11月","1.229",121629,96905,24724,0,24044258
"2042年12月","1.229",121629,97004,24625,0,23947254
"2043年1月","1.229",121629,97104,24525,0,23850150
"2043年2月","1.229",121629,97203,24426,0,23752947
"2043年3月","1.229",121629,97303,24326,0,23655644
"2043年4月","1.229",121629,97402,24227,0,23558242
"2043年5月","1.229",121629,97502,24127,0,23460740
"2043年6月","1.229",121629,97602,24027,0,23363138
"2043年7月","1.229",121629,97702,23927,0,23265436
"2043年8月","1.229",121629,97802,23827,0,23167634
"2043年9月","1.229",121629,97902,23727,0,23069732
"2043年10月","1.229",121629,98002,23627,0,22971730
"2043年11月","1.229",121629,98103,23526,0,22873627
"2043年12月","1.229",121629,98203,23426,0,22775424
"2044年1月","1.229",121629,98304,23325,0,22677120
"2044年2月","1.229",121629,98404,23225,0,22578716
"2044年3月","1.229",121629,98505,23124,0,22480211
"2044年4月","1.229",121629,98606,23023,0,22381605
"2044年5月","1.229",121629,98707,22922,0,22282898
"2044年6月","1.229",121629,98808,22821,0,22184090
"2044年7月","1.229",121629,98909,22720,0,22085181
"2044年8月","1.229",121629,99011,22618,0,21986170
"2044年9月","1.229",121629,99112,22517,0,21887058
"2044年10月","1.229",121629,99214,22415,0,21787844
"2044年11月","1.229",121629,99315,22314,0,21688529
"2044年12月","1.229",121629,99417,22212,0,21589112
"2045年1月","1.229",121629,99519,22110,0,21489593
"2045年2月","1.229",121629,99621,22008,0,21389972
"2045年3月","1.229",121629,99723,21906,0,21290249
"2045年4月","1.229",121629,99825,21804,0,21190424
"2045年5月","1.229",121629,99927,21702,0,21090497
"2045年6月","1.229",121629,100029,21600,0,20990468
"2045年7月","1.229",121629,100132,21497,0,20890336
"2045年8月","1.229",121629,100234,21395,0,20790102
"2045年9月","1.229",121629,100337,21292,0,20689765
"2045年10月","1.229",121629,100440,21189,0,20589325
"2045年11月","1.229",121629,100543,21086,0,20488782
"2045年12月","1.229",121629,100646,20983,0,20388136
"2046年1月","1.229",121629,100749,20880,0,20287387
"2046年2月","1.229",121629,100852,20777,0,20186535
"2046年3月","1.229",121629,100955,20674,0,20085580
"2046年4月","1.229",121629,101059,20570,0,19984521
"2046年5月","1.229",121629,101162,20467,0,19883359
"2046年6月","1.229",121629,101266,20363,0,19782093
"2046年7月","1.229",121629,101369,20260,0,19680724
"2046年8月","1.229",121629,101473,20156,0,19579251
"2046年9月","1.229",121629,101577,20052,0,19477674
"2046年10月","1.229",121629,101681,19948,0,19375993
"2046年11月","1.229",121629,101785,19844,0,19274208
"2046年12月","1.229",121629,101890,19739,0,19172318
"2047年1月","1.229",121629,101994,19635,0,19070324
"2047年2月","1.229",121629,102098,19531,0,18968226
"2047年3月","1.229",121629,102203,19426,0,18866023
"2047年4月","1.229",121629,102308,19321,0,18763715
"2047年5月","1.229",121629,102412,19217,0,18661303
"2047年6月","1.229",121629,102517,19112,0,18558786
"2047年7月","1.229",121629,102622,19007,0,18456164
"2047年8月","1.229",121629,102727,18902,0,18353437
"2047年9月","1.229",121629,102833,18796,0,18250604
"2047年10月","1.229",121629,102938,18691,0,18147666
"2047年11月","1.229",121629,103043,18586,0,18044623
"2047年12月","1.229",121629,103149,18480,0,17941474
"2048年1月","1.229",121629,103255,18374,0,17838219
"2048年2月","1.229",121629,103360,18269,0,17734859
"2048年3月","1.229",121629,103466,18163,0,17631393
"2048年4月","1.229",121629,103572,18057,0,17527821
"2048年5月","1.229",121629,103678,17951,0,17424143
"2048年6月","1.229",121629,103784,17845,0,17320359
"2048年7月","1.229",121629,103891,17738,0,17216468
"2048年8月","1.229",121629,103997,17632,0,17112471
"2048年9月","1.229",121629,104104,17525,0,17008367
"2048年10月","1.229",121629,104210,17419,0,16904157
"2048年11月","1.229",121629,104317,17312,0,16799840
"2048年12月","1.229",121629,104424,17205,0,16695416
"2049年1月","1.229",121629,104531,17098,0,16590885
"2049年2月","1.229",121629,104638,16991,0,16486247
"2049年3月","1.229",121629,104745,16884,0,16381502
"2049年4月","1.229",121629,104852,16777,0,16276650
"2049年5月","1.229",121629,104960,16669,0,16171690
"2049年6月","1.229",121629,105067,16562,0,16066623
"2049年7月","1.229",121629,105175,16454,0,15961448
"2049年8月","1.229",121629,105282,16347,0,15856166
"2049年9月","1.229",121629,105390,16239,0,15750776
"2049年10月","1.229",121629,105498,16131,0,15645278
"2049年11月","1.229",121629,105606,16023,0,15539672
"2049年12月","1.229",121629,105714,15915,0,15433958
"2050年1月","1.229",121629,105823,15806,0,15328135
"2050年2月","1.229",121629,105931,15698,0,15222204
"2050年3月","1.229",121629,106039,15590,0,15116165
"2050年4月","1.229",121629,106148,15481,0,15010017
"2050年5月","1.229",121629,106257,15372,0,14903760
"2050年6月","1.229",121629,106366,15263,0,14797394
"2050年7月","1.229",121629,106475,15154,0,14690919
"2050年8月","1.229",121629,106584,15045,0,14584335
"2050年9月","1.229",121629,106693,14936,0,14477642
"2050年10月","1.229",121629,106802,14827,0,14370840
"2050年11月","1.229",121629,106911,14718,0,14263929
"2050年12月","1.229",121629,107021,14608,0,14156908
"2051年1月","1.229",121629,107130,14499,0,14049778
"2051年2月","1.229",121629,107240,14389,0,13942538
"2051年3月","1.229",121629,107350,14279,0,13835188
"2051年4月","1.229",121629,107460,14169,0,13727728
"2051年5月","1.229",121629,107570,14059,0,13620158
"2051年6月","1.229",121629,107680,13949,0,13512478
"2051年7月","1.229",121629,107791,13838,0,13404687
"2051年8月","1.229",121629,107901,13728,0,13296786
"2051年9月","1.229",121629,108011,13618,0,13188775
"2051年10月","1.229",121629,108122,13507,0,13080653
"2051年11月","1.229",121629,108233,13396,0,12972420
"2051年12月","1.229",121629,108344,13285,0,12864076
"2052年1月","1.229",121629,108455,13174,0,12755621
"2052年2月","1.229",121629,108566,13063,0,12647055
"2052年3月","1.229",121629,108677,12952,0,12538378
"2052年4月","1.229",121629,108788,12841,0,12429590
"2052年5月","1.229",121629,108900,12729,0,12320690
"2052年6月","1.229",121629,109011,12618,0,12211679
"2052年7月","1.229",121629,109123,12506,0,12102556
"2052年8月","1.229",121629,109235,12394,0,11993321
"2052年9月","1.229",121629,109346,12283,0,11883975
"2052年10月","1.229",121629,109458,12171,0,11774517
"2052年11月","1.229",121629,109570,12059,0,11664947
"2052年12月","1.229",121629,109683,11946,0,11555264
"2053年1月","1.229",121629,109795,11834,0,11445469
"2053年2月","1.229",121629,109908,11721,0,11335561
"2053年3月","1.229",121629,110020,11609,0,11225541
"2053年4月","1.229",121629,110133,11496,0,11115408
"2053年5月","1.229",121629,110245,11384,0,11005163
"2053年6月","1.229",121629,110358,11271,0,10894805
"2053年7月","1.229",121629,110471,11158,0,10784334
"2053年8月","1.229",121629,110585,11044,0,10673749
"2053年9月","1.229",121629,110698,10931,0,10563051
"2053年10月","1.229",121629,110811,10818,0,10452240
"2053年11月","1.229",121629,110925,10704,0,10341315
"2053年12月","1.229",121629,111038,10591,0,10230277
"2054年1月","1.229",121629,111152,10477,0,10119125
"2054年2月","1.229",121629,111266,10363,0,10007859
"2054年3月","1.229",121629,111380,10249,0,9896479
"2054年4月","1.229",121629,111494,10135,0,9784985
"2054年5月","1.229",121629,111608,10021,0,9673377
"2054年6月","1.229",121629,111722,9907,0,9561655
"2054年7月","1.229",121629,111837,9792,0,9449818
"2054年8月","1.229",121629,111951,9678,0,9337867
"2054年9月","1.229",121629,112066,9563,0,9225801
"2054年10月","1.229",121629,112181,9448,0,9113620
"2054年11月","1.229",121629,112296,9333,0,9001324
"2054年12月","1.229",121629,112411,9218,0,8888913
"2055年1月","1.229",121629,112526,9103,0,8776387
"2055年2月","1.229",121629,112641,8988,0,8663746
"2055年3月","1.229",121629,112756,8873,0,8550990
"2055年4月","1.229",121629,112872,8757,0,8438118
"2055年5月","1.229",121629,112987,8642,0,8325131
"2055年6月","1.229",121629,113103,8526,0,8212028
"2055年7月","1.229",121629,113219,8410,0,8098809
"2055年8月","1.229",121629,113335,8294,0,7985474
"2055年9月","1.229",121629,113451,8178,0,7872023
"2055年10月","1.229",121629,113567,8062,0,7758456
"2055年11月","1.229",121629,113684,7945,0,7644772
"2055年12月","1.229",121629,113800,7829,0,7530972
"2056年1月","1.229",121629,113917,7712,0,7417055
"2056年2月","1.229",121629,114033,7596,0,7303022
"2056年3月","1.229",121629,114150,7479,0,7188872
"2056年4月","1.229",121629,114267,7362,0,7074605
"2056年5月","1.229",121629,114384,7245,0,6960221
"2056年6月","1.229",121629,114501,7128,0,6845720
"2056年7月","1.229",121629,114618,7011,0,6731102
"2056年8月","1.229",121629,114736,6893,0,6616366
"2056年9月","1.229",121629,114853,6776,0,6501513
"2056年10月","1.229",121629,114971,6658,0,6386542
"2056年11月","1.229",121629,115089,6540,0,6271453
"2056年12月","1.229",121629,115207,6422,0,6156246
"2057年1月","1.229",121629,115325,6304,0,6040921
"2057年2月","1.229",121629,115443,6186,0,5925478
"2057年3月","1.229",121629,115561,6068,0,5809917
"2057年4月","1.229",121629,115679,5950,0,5694238
"2057年5月","1.229",121629,115798,5831,0,5578440
"2057年6月","1.229",121629,115916,5713,0,5462524
"2057年7月","1.229",121629,116035,5594,0,5346489
"2057年8月","1.229",121629,116154,5475,0,5230335
"2057年9月","1.229",121629,116273,5356,0,5114062
"2057年10月","1.229",121629,116392,5237,0,4997670
"2057年11月","1.229",121629,116511,5118,0,4881159
"2057年12月","1.229",121629,116630,4999,0,4764529
"2058年1月","1.229",121629,116750,4879,0,4647779
"2058年2月","1.229",121629,116869,4760,0,4530910
"2058年3月","1.229",121629,116989,4640,0,4413921
"2058年4月","1.229",121629,117109,4520,0,4296812
"2058年5月","1.229",121629,117229,4400,0,4179583
"2058年6月","1.229",121629,117349,4280,0,4062234
"2058年7月","1.229",121629,117469,4160,0,3944765
"2058年8月","1.229",121629,117589,4040,0,3827176
"2058年9月","1.229",121629,117710,3919,0,3709466
"2058年10月","1.229",121629,117830,3799,0,3591636
"2058年11月","1.229",121629,117951,3678,0,3473685
"2058年12月","1.229",121629,118072,3557,0,3355613
"2059年1月","1.229",121629,118193,3436,0,3237420
"2059年2月","1.229",121629,118314,3315,0,3119106
"2059年3月","1.229",121629,118435,3194,0,3000671
"2059年4月","1.229",121629,118556,3073,0,2882115
"2059年5月","1.229",121629,118678,2951,0,2763437
"2059年6月","1.229",121629,118799,2830,0,2644638
"2059年7月","1.229",121629,118921,2708,0,2525717
"2059年8月","1.229",121629,119043,2586,0,2406674
"2059年9月","1.229",121629,119165,2464,0,2287509
"2059年10月","1.229",121629,119287,2342,0,2168222
"2059年11月","1.229",121629,119409,2220,0,2048813
"2059年12月","1.229",121629,119531,2098,0,1929282
"2060年1月","1.229",121629,119654,1975,0,1809628
"2060年2月","1.229",121629,119776,1853,0,1689852
"2060年3月","1.229",121629,119899,1730,0,1569953
"2060年4月","1.229",121629,120022,1607,0,1449931
"2060年5月","1.229",121629,120145,1484,0,1329786
"2060年6月","1.229",121629,120268,1361,0,1209518
"2060年7月","1.229",121629,120391,1238,0,1089127
"2060年8月","1.229",121629,120514,1115,0,968613
"2060年9月","1.229",121629,120637,992,0,847976
"2060年10月","1.229",121629,120761,868,0,727215
"2060年11月","1.229",121629,120885,744,0,606330
"2060年12月","1.229",121629,121009,620,0,485321
"2061年1月","1.229",121629,121132,497,0,364189
"2061年2月","1.229",121629,121257,372,0,242932
"2061年3月","1.229",121629,121381,248,0,121551
"2061年4月","1.229",121675,121551,124,0,0